#,symbol,entry,exit,days,in_px,out_px,net_pct,exit_reason
401,RATNAVEER,2026-06-19,2026-06-19,0,189.0,189.0,-1.0,still open (marked to last close)
402,RECLTD,2026-06-19,2026-06-19,0,355.4,355.4,-1.0,still open (marked to last close)
403,ROLEXRINGS,2026-06-19,2026-06-19,0,143.2,143.2,-1.0,still open (marked to last close)
404,SAGILITY,2026-06-19,2026-06-19,0,39.5,39.5,-1.0,still open (marked to last close)
405,SHYAMMETL,2026-06-19,2026-06-19,0,970.3,970.3,-1.0,still open (marked to last close)
406,TECHNOE,2026-06-19,2026-06-19,0,1080.3,1080.3,-1.0,still open (marked to last close)
407,TEXRAIL,2026-06-19,2026-06-19,0,109.3,109.3,-1.0,still open (marked to last close)
408,THOMASCOOK,2026-06-19,2026-06-19,0,111.6,111.6,-1.0,still open (marked to last close)
409,TIMETECHNO,2026-06-19,2026-06-19,0,178.4,178.4,-1.0,still open (marked to last close)
410,TRANSRAILL,2026-06-19,2026-06-19,0,507.7,507.7,-1.0,still open (marked to last close)
411,V2RETAIL,2026-06-19,2026-06-19,0,236.8,236.8,-1.0,still open (marked to last close)
412,VTL,2026-06-19,2026-06-19,0,657.5,657.5,-1.0,still open (marked to last close)
413,ZENSARTECH,2026-06-19,2026-06-19,0,447.9,447.9,-1.0,still open (marked to last close)
